frame_idx,left_x,left_y,left_z,right_x,right_y,right_z,n_detections
0,-0.128234,-0.004706,-6.39291,0.099029,-0.022607,-6.249641,3
1,-0.127195,-0.00786,-6.391195,0.098913,-0.022204,-6.271556,3
2,-0.127621,-0.00597,-6.481346,0.097631,-0.02116,-6.310976,3
3,-0.128163,-0.00464,-6.482596,0.097467,-0.0209,-6.306792,3
4,-0.129731,-0.005889,-6.447144,0.097644,-0.021157,-6.327654,3
5,-0.126976,-0.003374,-6.400878,0.096807,-0.020826,-6.288303,3
6,-0.127007,-0.002793,-6.406471,0.096843,-0.020359,-6.297562,3
7,-0.126511,-0.002143,-6.383826,0.096389,-0.020141,-6.281228,3
8,-0.12794,-0.001802,-6.348571,0.097036,-0.019865,-6.298562,3
9,-0.127582,-0.001379,-6.403942,0.097701,-0.019701,-6.32619,3
10,-0.127825,-0.00147,-6.368812,0.097794,-0.019476,-6.322907,3
11,-0.126324,-0.001244,-6.336691,0.097767,-0.019308,-6.31757,3
12,-0.12466,-0.001337,-6.23742,0.098181,-0.019043,-6.30368,3
13,-0.125277,-0.001865,-6.248328,0.097609,-0.018793,-6.249932,3
14,-0.126852,-0.002934,-6.205822,0.099163,-0.018359,-6.248295,3
15,-0.125947,-0.002581,-6.199499,0.099679,-0.018141,-6.195686,3
16,-0.124892,-0.001952,-6.126211,0.100836,-0.01758,-6.194906,3
17,-0.121427,-0.001983,-6.013442,0.101002,-0.017688,-6.198553,3
18,-0.123213,-0.001258,-6.11536,0.101401,-0.018008,-6.198445,3
19,-0.126942,-5e-05,-6.464721,0.101439,-0.018143,-6.161138,3
20,-0.127855,0.001764,-6.362595,0.102126,-0.018963,-6.140385,3
21,-0.126299,0.001652,-6.353621,0.10261,-0.018852,-6.145428,3
22,-0.12596,-0.000445,-6.342932,0.102194,-0.018983,-6.133524,2
23,-0.124888,-0.001756,-6.370926,0.10159,-0.018803,-6.178603,3
24,-0.125445,-0.002423,-6.397149,0.100257,-0.019022,-6.282644,3
25,-0.126893,-0.003292,-6.39877,0.099759,-0.019288,-6.259323,3
26,-0.12735,-0.002752,-6.550671,0.100507,-0.019633,-6.270476,3
27,-0.121421,-0.002349,-6.454016,0.100922,-0.019693,-6.249108,3
28,-0.120177,-0.002163,-6.406838,0.101211,-0.019041,-6.225733,3
29,-0.119417,-0.00096,-6.470638,0.101585,-0.018401,-6.209873,3
30,-0.118943,-0.000559,-6.501228,0.101557,-0.017808,-6.198998,3
31,-0.119264,-0.000578,-6.479875,0.101512,-0.017742,-6.202963,3
32,-0.121627,0.000184,-6.486626,0.102343,-0.017635,-6.240584,3
33,-0.121269,0.001192,-6.486696,0.101915,-0.017125,-6.177923,3
34,-0.119037,0.000383,-6.461716,0.102062,-0.01796,-6.11891,3
35,-0.119813,0.000299,-6.44366,0.102656,-0.017262,-6.197807,3
36,-0.119603,0.000552,-6.466995,0.10284,-0.017547,-6.196085,3
37,-0.121232,0.000441,-6.470534,0.102931,-0.017531,-6.204636,3
38,-0.121954,-0.000126,-6.430642,0.102336,-0.017278,-6.195127,3
39,-0.121571,-0.000462,-6.425882,0.101716,-0.017296,-6.177308,3
40,-0.120685,-0.000335,-6.418721,0.098889,-0.017681,-6.220314,3
41,-0.121481,-0.00122,-6.438435,0.095939,-0.017463,-6.459538,3
42,-0.12207,-0.00341,-6.490439,0.080532,-0.01927,-6.363803,3
43,-0.123101,-0.003622,-6.56807,0.067414,-0.016157,-6.412625,2
44,-0.122239,-0.004053,-6.47544,0.056082,-0.006209,-6.3485,2
45,-0.12236,-0.003696,-6.533103,0.049595,-0.001327,-6.305857,2
46,-0.122163,-0.002984,-6.548541,0.043135,0.006855,-6.16054,2
47,-0.120694,-0.002323,-6.462533,0.04635,0.011558,-6.211476,2
48,-0.119279,-0.002369,-6.539696,0.050889,0.01175,-6.165643,2
49,-0.118359,-0.001533,-6.519947,0.053555,0.009725,-6.165867,2
50,-0.118414,-0.001626,-6.551852,0.058095,0.008604,-6.198861,2
51,-0.120744,-0.001794,-6.456938,0.058897,0.007188,-6.181246,2
52,-0.118217,-0.002175,-6.496405,0.059473,0.005932,-6.14604,2
53,-0.119316,-0.00263,-6.526661,0.059628,0.00349,-6.143371,2
54,-0.120528,-0.002816,-6.546469,0.05881,-0.000318,-6.245268,2
55,-0.121111,-0.002727,-6.456753,0.056885,-0.002339,-6.217645,2
56,-0.119918,-0.003258,-6.473403,0.055688,-0.002742,-6.232542,2
57,-0.119328,-0.00429,-6.436137,0.05344,-0.002779,-6.218888,2
58,-0.119731,-0.005274,-6.449959,0.049874,-0.000169,-6.219616,2
59,-0.118688,-0.005408,-6.413273,0.047417,0.000738,-6.192953,2
60,-0.118733,-0.004755,-6.406511,0.044579,0.002568,-6.236305,2
61,-0.117192,-0.003148,-6.37556,0.041732,0.003947,-6.232666,2
62,-0.116133,-0.002853,-6.34495,0.036695,0.007332,-6.193262,2
63,-0.114809,-0.00323,-6.328075,0.034687,0.008545,-6.198035,2
64,-0.113317,-0.004013,-6.292726,0.030852,0.009378,-6.25318,2
65,-0.113819,-0.004327,-6.286798,0.029322,0.009182,-6.264147,2
66,-0.114056,-0.00447,-6.249099,0.028015,0.009905,-6.299409,2
67,-0.113408,-0.004239,-6.238429,0.028398,0.010811,-6.237984,2
68,-0.113345,-0.004407,-6.252974,0.027167,0.011184,-6.245919,2
69,-0.113546,-0.004466,-6.265819,0.02568,0.012779,-6.246484,2
